study_duration,idle_time,break_count,tab_switch_count,attention_level
57,9,1,3,2
86,2,1,4,2
55,11,4,10,1
40,9,5,7,1
37,17,5,7,1
35,25,8,14,0
20,31,5,23,0
58,14,3,5,1
19,24,8,14,0
72,8,1,2,2
24,22,6,16,0
39,11,4,7,1
60,8,1,1,2
73,2,1,2,2
55,3,2,1,2
83,0,3,4,2
68,3,3,0,2
51,1,2,4,2
85,5,1,0,2
58,15,3,11,1
50,2,3,1,2
28,28,8,23,0
31,32,5,16,0
22,27,8,22,0
55,5,3,2,2
23,21,8,12,0
82,9,3,3,2
49,10,5,8,1
85,9,2,3,2
27,17,9,17,0
52,9,4,11,1
26,29,9,19,0
36,10,3,9,1
85,8,2,1,2
58,11,4,6,1
84,2,3,3,2
24,24,9,21,0
56,14,3,9,1
22,28,6,15,0
46,12,5,5,1
38,15,5,6,1
33,16,7,15,0
53,8,5,10,1
69,9,3,1,2
40,16,4,10,1
61,8,1,1,2
66,4,1,1,2
59,1,1,1,2
59,14,5,11,1
77,3,2,2,2
22,18,5,20,0
35,14,5,6,1
54,5,3,0,2
85,3,2,2,2
61,3,1,4,2
15,21,9,14,0
45,14,3,6,1
50,16,3,9,1
40,12,5,8,1
82,8,1,2,2
55,13,3,6,1
19,17,7,22,0
89,9,1,1,2
74,0,1,0,2
84,1,2,0,2
28,27,9,15,0
56,10,4,6,1
20,15,8,16,0
38,20,8,14,0
59,9,3,5,1
63,9,1,2,2
57,7,1,3,2
46,15,4,5,1
67,8,3,2,2
77,9,3,0,2
57,15,3,7,1
52,7,2,1,2
75,6,3,2,2
50,12,5,7,1
44,16,3,10,1
47,14,5,10,1
38,21,6,17,0
56,12,4,11,1
54,6,1,0,2
23,16,8,13,0
43,11,4,9,1
16,20,7,23,0
51,5,3,4,2
66,6,1,4,2
18,29,5,23,0
37,27,6,14,0
56,8,4,10,1
66,6,1,0,2
41,11,3,10,1
71,1,2,4,2
32,28,6,21,0
55,11,5,6,1
74,6,1,2,2
50,10,3,7,1
35,28,9,15,0
83,5,2,2,2
27,16,9,22,0
68,6,3,2,2
38,10,3,5,1
65,7,3,0,2
35,33,5,18,0
41,17,3,10,1
78,5,1,4,2
24,25,9,17,0
40,11,5,10,1
52,17,3,6,1
72,6,1,2,2
62,2,3,0,2
50,4,1,0,2
23,31,7,19,0
65,7,1,2,2
75,8,1,1,2
73,4,3,4,2
77,6,2,1,2
38,10,5,8,1
34,31,9,22,0
53,9,2,4,2
53,7,3,1,2
46,8,5,9,1
67,8,2,1,2
56,8,1,3,2
83,0,3,3,2
88,9,3,1,2
38,32,9,15,0
20,34,5,22,0
20,25,7,17,0
66,2,1,0,2
83,8,2,1,2
38,17,3,10,1
19,26,5,22,0
15,24,9,14,0
70,0,2,4,2
42,14,3,11,1
48,17,3,6,1
61,4,1,1,2
89,4,3,0,2
61,9,1,4,2
31,34,5,23,0
22,28,7,22,0
80,6,2,1,2
42,9,5,5,1
81,4,2,1,2
48,11,3,5,1
60,7,1,4,2
16,27,8,11,0
59,0,2,4,2
44,15,4,11,1
58,6,2,3,2
77,9,1,4,2
51,12,5,9,1
66,7,1,0,2
17,26,5,14,0
58,16,5,7,1
15,27,5,12,0
53,8,1,1,2
57,5,1,4,2
74,3,2,2,2
41,13,5,10,1
62,1,1,3,2
46,11,4,5,1
60,3,1,2,2
26,24,7,24,0
36,34,9,20,0
22,33,8,19,0
35,17,5,11,1
49,17,5,10,1
52,7,2,4,2
35,16,4,8,1
27,27,9,11,0
41,17,4,6,1
77,2,3,3,2
65,6,1,2,2
41,15,4,7,1
53,14,4,8,1
47,11,4,6,1
51,16,4,11,1
18,22,6,18,0
30,29,5,17,0
81,9,3,0,2
59,13,3,8,1
20,25,5,13,0
37,13,5,11,1
37,14,5,8,1
38,14,4,5,1
38,16,5,8,1
59,16,3,6,1
58,11,3,8,1
44,10,5,6,1
52,0,2,1,2
54,0,2,0,2
52,10,3,7,1
67,3,3,1,2
81,5,3,1,2
77,8,3,3,2
71,7,1,1,2
38,15,4,10,1
23,28,5,13,0
44,9,4,5,1
89,9,3,3,2
39,13,5,6,1
36,17,5,5,1
88,9,1,2,2
39,17,3,6,1
61,6,1,1,2
56,11,4,7,1
47,12,5,8,1
88,3,1,2,2
51,5,3,0,2
53,16,3,8,1
39,12,4,6,1
20,25,5,23,0
57,9,3,11,1
53,17,3,6,1
54,13,5,5,1
87,2,1,4,2
74,5,1,2,2
61,6,1,2,2
59,8,4,5,1
54,15,4,8,1
23,27,9,12,0
86,0,1,3,2
35,25,7,22,0
70,1,3,2,2
78,5,2,3,2
17,28,8,22,0
71,6,2,4,2
52,2,1,3,2
85,4,3,0,2
69,4,1,0,2
54,8,4,6,1
88,2,3,1,2
88,9,2,2,2
50,13,4,8,1
55,9,3,6,1
58,9,2,3,2
53,16,4,9,1
79,1,3,4,2
63,2,1,4,2
38,20,9,22,0
81,2,3,4,2
64,4,1,3,2
29,34,5,22,0
83,8,3,0,2
39,15,3,7,1
57,0,2,3,2
86,9,2,2,2
74,0,3,2,2
39,10,3,8,1
58,9,3,6,1
66,4,2,2,2
37,22,6,21,0
28,27,5,24,0
54,2,3,1,2
88,2,1,4,2
36,26,6,17,0
63,4,3,0,2
85,7,3,1,2
25,27,9,10,0
41,16,3,11,1
88,4,2,1,2
21,31,7,13,0
18,22,5,23,0
73,6,2,2,2
73,5,1,3,2
46,16,3,8,1
68,9,1,4,2
43,10,3,5,1
72,9,3,3,2
39,10,5,5,1
55,14,5,8,1
21,20,5,13,0
19,17,8,22,0
77,6,1,3,2
54,15,5,8,1
52,10,4,10,1
52,10,4,5,1
54,12,4,11,1
48,15,4,10,1
23,34,7,12,0
67,3,3,2,2
55,2,3,3,2
37,12,4,6,1
48,11,3,8,1
33,31,8,12,0
25,28,6,14,0
70,9,2,3,2
34,31,5,21,0
35,8,3,9,1
47,10,3,7,1
20,26,6,12,0
52,9,3,9,1
51,12,5,6,1
89,4,1,1,2
39,9,4,5,1
57,15,4,9,1
56,12,4,8,1
52,15,4,8,1
74,8,2,4,2
84,1,1,4,2
73,5,1,3,2
55,15,4,10,1
73,8,3,3,2
81,9,2,2,2
53,7,1,4,2
53,1,2,4,2
37,17,4,11,1
81,6,3,2,2
77,6,1,2,2
88,5,2,1,2
83,8,3,2,2
27,29,9,24,0
42,15,3,11,1
51,7,2,2,2
54,16,5,9,1
29,23,6,19,0
36,16,3,5,1
40,16,5,8,1
47,11,4,9,1
59,9,4,8,1
53,0,1,1,2
37,15,3,6,1
54,8,5,8,1
44,16,4,10,1
38,29,7,20,0
61,3,3,2,2
54,8,2,1,2
86,6,1,3,2
54,12,5,10,1
16,23,7,17,0
53,13,3,8,1
89,1,3,4,2
54,16,4,10,1
86,7,1,0,2
89,9,3,3,2
49,12,4,11,1
23,19,8,11,0
76,0,2,0,2
54,9,2,4,2
78,1,1,2,2
58,15,5,9,1
49,14,4,10,1
44,9,5,9,1
51,12,5,7,1
81,3,2,2,2
17,26,5,21,0
55,5,3,3,2
56,4,3,0,2
37,22,9,19,0
19,31,6,16,0
16,30,5,18,0
43,11,3,10,1
39,11,5,10,1
36,15,5,10,1
79,2,1,2,2
75,4,2,3,2
60,9,3,1,2
51,10,4,5,1
86,0,1,2,2
61,6,2,2,2
66,9,1,0,2
75,8,2,2,2
40,9,4,9,1
33,29,8,16,0
36,12,4,10,1
16,17,8,24,0
88,4,2,4,2
43,8,3,8,1
83,5,2,2,2
56,12,3,7,1
56,12,3,6,1
33,30,8,21,0
37,30,6,15,0
45,8,4,10,1
77,7,3,1,2
82,5,3,2,2
37,28,6,11,0
16,23,5,17,0
26,18,6,17,0
53,12,3,9,1
78,6,2,4,2
15,22,9,15,0
34,16,5,12,0
61,9,1,1,2
36,10,5,9,1
72,9,1,1,2
53,5,1,1,2
58,8,1,0,2
15,22,7,13,0
79,7,2,2,2
61,0,2,3,2
39,32,7,16,0
66,7,3,2,2
64,0,1,3,2
57,11,4,6,1
31,17,8,11,0
63,7,3,3,2
37,13,3,10,1
37,9,5,10,1
17,26,5,24,0
84,3,3,1,2
36,17,5,5,1
89,3,1,1,2
39,11,3,5,1
66,0,3,2,2
56,15,4,10,1
50,7,1,2,2
18,31,9,11,0
54,14,5,8,1
69,8,2,0,2
80,2,1,3,2
43,11,3,9,1
56,8,5,8,1
66,3,1,1,2
76,0,3,2,2
89,5,1,2,2
45,17,4,6,1
83,2,1,3,2
38,16,5,13,0
52,12,5,7,1
22,16,5,18,0
39,14,3,8,1
68,0,1,0,2
57,9,2,1,2
36,16,5,9,1
41,10,5,8,1
65,9,1,3,2
35,22,8,14,0
38,16,7,18,0
77,8,3,0,2
75,8,3,3,2
51,4,2,3,2
78,0,1,4,2
68,4,1,1,2
36,16,7,10,0
37,22,7,19,0
35,14,3,8,1
72,0,2,4,2
52,13,4,7,1
35,8,4,8,1
66,8,2,4,2
83,2,1,2,2
33,25,9,14,0
74,7,1,4,2
79,0,1,3,2
27,29,8,15,0
65,0,1,3,2
52,7,2,1,2
26,19,6,10,0
53,3,2,3,2
46,12,3,5,1
88,6,1,4,2
37,8,4,8,1
73,5,2,4,2
73,9,1,3,2
26,33,8,17,0
33,18,8,21,0
28,27,5,17,0
51,16,4,11,1
47,16,4,5,1
49,10,5,7,1
50,8,3,0,2
50,2,1,4,2
57,9,3,4,2
35,31,5,16,0
52,10,5,8,1
26,25,7,12,0
26,25,8,12,0
63,0,1,2,2
81,1,3,4,2
39,11,3,7,1
49,8,4,10,1
35,11,3,8,1
63,7,2,3,2
68,8,3,3,2
68,2,3,0,2
76,4,3,1,2
54,10,5,11,1
26,21,6,18,0
60,2,3,0,2
84,6,1,1,2
45,8,3,7,1
44,12,4,9,1
54,8,1,4,2
83,4,3,3,2
39,29,9,12,0
41,13,3,5,1
43,15,4,8,1
54,8,3,6,1
15,31,7,22,0
48,10,4,8,1
37,20,6,19,0
81,0,1,2,2
29,18,9,20,0
73,4,2,3,2
23,31,9,22,0
66,4,3,4,2
75,1,2,3,2
50,14,4,10,1
87,7,1,3,2
31,32,9,13,0
39,31,6,14,0
55,13,5,6,1
21,15,6,16,0
45,9,5,8,1
79,5,3,3,2
44,10,5,11,1
27,17,5,17,0
68,3,1,3,2
84,7,2,2,2
18,27,8,24,0
43,17,4,7,1
23,16,9,15,0
58,2,2,0,2
59,4,3,1,2
77,8,3,0,2
39,24,7,22,0
89,2,2,2,2
59,12,5,9,1
22,22,8,24,0
17,20,8,11,0
39,10,5,6,1
25,31,5,15,0
81,1,1,1,2
23,31,9,11,0
31,19,8,15,0
35,8,3,7,1
29,34,8,18,0
36,25,6,13,0
43,13,3,9,1
25,25,5,10,0
62,2,1,1,2
28,34,9,17,0
86,3,3,2,2
22,25,8,21,0
18,19,8,21,0
15,34,9,11,0
82,0,1,2,2
61,0,2,4,2
37,8,3,8,1
54,0,2,3,2
42,13,5,5,1
52,13,5,9,1
30,15,9,12,0
45,9,3,11,1
31,30,8,12,0
51,14,3,6,1
85,9,1,0,2
69,6,1,0,2
70,5,1,2,2
58,12,5,9,1
17,29,5,21,0
64,8,3,4,2
40,15,5,9,1
38,26,5,24,0
23,17,8,22,0
52,4,3,4,2
28,33,7,22,0
55,3,2,2,2
36,11,4,11,1
36,16,4,9,1
53,1,3,2,2
79,7,3,0,2
43,11,4,6,1
48,13,5,11,1
49,8,5,5,1
49,15,4,6,1
23,15,8,12,0
78,7,1,2,2
42,12,5,11,1
67,1,1,4,2
54,11,3,10,1
55,9,1,4,2
34,22,9,12,0
56,16,4,8,1
18,19,5,24,0
57,9,4,5,1
39,29,7,12,0
52,8,4,11,1
88,0,3,4,2
77,9,1,0,2
38,11,4,11,1
21,23,9,11,0
46,14,3,11,1
38,11,4,10,1
67,2,3,3,2
35,15,3,11,1
74,7,2,0,2
66,4,1,3,2
72,8,3,0,2
30,18,9,14,0
43,8,4,8,1
80,2,1,3,2
23,16,6,21,0
55,0,1,0,2
50,8,4,6,1
68,0,1,4,2
65,3,1,4,2
45,11,4,11,1
61,0,3,4,2
83,1,2,2,2
66,9,1,0,2
52,13,5,8,1
82,3,2,2,2
50,16,5,10,1
19,27,8,24,0
22,17,7,23,0
18,22,8,13,0
39,18,8,10,0
32,22,6,10,0
65,4,1,2,2
43,9,3,9,1
37,8,4,8,1
23,23,8,12,0
33,23,8,13,0
52,15,4,5,1
26,31,5,24,0
52,2,3,4,2
47,9,4,9,1
38,32,5,15,0
29,32,6,20,0
21,23,9,20,0
18,32,7,22,0
43,9,5,6,1
39,33,6,10,0
39,28,8,23,0
55,2,2,1,2
34,23,7,17,0
59,12,4,9,1
58,9,1,4,2
16,23,6,11,0
47,15,3,11,1
40,11,4,7,1
86,2,1,0,2
58,16,3,10,1
58,7,2,2,2
26,20,5,12,0
51,16,3,5,1
53,11,4,11,1
62,4,1,0,2
20,23,8,12,0
19,22,6,13,0
79,0,1,3,2
31,16,5,17,0
54,13,5,10,1
85,2,2,4,2
42,17,4,5,1
48,9,5,7,1
31,16,6,21,0
59,14,4,11,1
86,5,3,2,2
74,0,3,3,2
36,17,4,10,1
57,9,4,9,1
59,15,5,10,1
51,5,1,1,2
82,5,3,3,2
76,0,1,0,2
54,5,2,3,2
34,26,7,14,0
34,32,6,11,0
40,11,4,10,1
83,6,1,4,2
37,15,4,10,1
41,14,5,10,1
35,30,6,11,0
19,30,8,18,0
36,31,6,19,0
48,11,5,8,1
27,33,7,19,0
31,24,7,15,0
35,15,5,11,1
18,28,7,20,0
42,11,5,10,1
18,22,7,22,0
48,8,4,10,1
31,26,6,20,0
50,7,2,3,2
74,0,1,1,2
45,16,3,8,1
77,4,1,3,2
56,8,3,6,1
71,1,2,4,2
41,16,3,7,1
70,6,2,3,2
54,11,4,6,1
19,27,9,21,0
31,28,8,14,0
24,33,6,15,0
28,24,7,18,0
54,13,4,11,1
77,9,3,1,2
52,9,3,9,1
74,1,3,2,2
57,12,3,7,1
37,9,4,8,1
46,16,5,8,1
54,9,5,10,1
38,12,3,9,1
22,21,7,10,0
72,1,2,2,2
67,1,2,4,2
37,20,5,11,0
83,1,1,3,2
28,34,5,18,0
29,24,9,19,0
71,4,2,3,2
51,7,2,1,2
37,30,5,12,0
55,11,5,6,1
17,29,6,23,0
42,8,5,5,1
48,13,5,5,1
47,8,4,8,1
37,15,3,6,1
44,10,4,6,1
50,1,2,0,2
23,23,9,10,0
54,14,3,7,1
37,9,5,6,1
40,9,3,7,1
55,10,3,5,1
60,7,3,0,2
81,3,2,4,2
28,23,9,23,0
34,33,9,19,0
58,9,1,0,2
72,1,3,3,2
84,0,3,4,2
20,17,7,14,0
51,7,2,3,2
42,8,5,5,1
37,33,8,23,0
74,4,2,3,2
57,0,1,2,2
51,15,3,6,1
49,16,4,9,1
59,5,1,1,2
38,13,5,6,1
43,14,5,9,1
76,9,2,4,2
60,0,2,3,2
58,15,5,11,1
41,16,3,11,1
63,3,3,1,2
20,32,6,23,0
45,14,5,8,1
38,15,5,24,0
25,29,8,15,0
78,1,2,1,2
21,19,5,20,0
51,5,2,1,2
61,9,2,3,2
58,4,1,2,2
36,9,4,11,1
76,5,3,4,2
59,7,1,1,2
29,32,7,10,0
55,4,1,0,2
18,26,9,12,0
68,9,3,2,2
34,27,5,10,0
57,1,3,4,2
36,16,3,6,1
51,14,3,8,1
51,9,3,10,1
56,0,3,4,2
58,14,3,6,1
80,3,1,3,2
54,10,4,11,1
51,16,3,8,1
42,12,5,5,1
22,30,7,15,0
18,15,8,11,0
22,33,9,16,0
74,9,3,1,2
71,7,2,2,2
58,0,1,3,2
59,14,3,8,1
45,15,4,8,1
48,11,4,7,1
46,15,4,5,1
55,12,3,5,1
28,32,7,15,0
27,21,5,20,0
88,3,1,4,2
45,10,4,11,1
69,3,2,3,2
57,4,3,1,2
17,20,8,21,0
30,26,7,14,0
55,13,4,9,1
76,9,2,1,2
75,7,3,2,2
78,3,1,2,2
23,15,8,18,0
40,12,3,6,1
56,14,4,10,1
56,10,3,6,1
73,2,3,4,2
54,6,2,4,2
67,9,3,0,2
33,20,6,17,0
36,16,3,5,1
67,0,1,1,2
28,25,9,12,0
87,0,3,0,2
63,0,2,3,2
66,9,1,3,2
47,12,4,6,1
81,1,3,3,2
55,4,1,0,2
67,0,3,4,2
32,17,7,24,0
26,23,9,19,0
56,10,5,9,1
33,29,5,16,0
35,14,3,10,1
32,25,8,21,0
46,13,4,7,1
17,27,5,14,0
63,4,3,2,2
38,9,5,10,1
33,28,7,11,0
48,11,3,11,1
39,11,4,6,1
55,4,2,4,2
35,19,8,14,0
52,8,5,11,1
57,10,4,9,1
56,13,3,7,1
49,11,5,7,1
51,0,2,3,2
54,17,3,5,1
52,15,5,5,1
16,27,7,19,0
40,10,3,7,1
64,7,1,4,2
73,0,3,2,2
80,5,3,1,2
56,15,5,5,1
76,5,3,0,2
69,8,1,3,2
33,23,7,17,0
72,6,3,2,2
89,1,1,2,2
23,31,9,12,0
41,8,4,8,1
53,12,3,5,1
88,7,1,3,2
28,33,7,19,0
55,1,1,1,2
55,13,5,9,1
61,8,3,4,2
59,11,3,11,1
34,20,6,13,0
89,4,1,4,2
54,9,2,4,2
74,9,3,4,2
39,13,3,5,1
61,7,3,4,2
68,9,1,4,2
46,16,3,9,1
85,1,1,4,2
39,8,5,9,1
78,0,1,0,2
40,9,5,8,1
77,0,1,3,2
72,9,2,4,2
56,1,3,1,2
16,25,8,12,0
50,11,4,6,1
71,8,1,3,2
